0,1792
0,7186
0,3
0,4
0,5
0,7
0,7432
0,394
0,6411
0,397
0,6351
0,2831
0,4497
0,18
0,533
0,7306
0,9433
0,5573
0,33
0,342
0,6053
0,5873
0,680
0,4010
0,7047
0,1326
0,4783
0,7878
0,7682
0,4787
0,54
0,9417
0,440
0,697
0,8863
0,60
0,3901
0,7742
0,1013
0,64
0,9195
0,68
0,2245
0,966
0,839
0,1100
0,6731
0,204
0,8525
0,79
0,1720
0,9596
0,85
0,214
0,7737
0,1241
0,1498
0,207
0,9692
0,1118
0,9439
0,98
0,867
0,101
0,4257
0,235
0,5613
0,4847
0,1393
0,1700
0,1652
0,117
0,6392
0,377
0,1215
0,508
0,2965
1,8194
1,3
1,4289
1,3593
1,9611
1,14
1,15
1,6416
1,274
1,3347
1,6420
1,2966
1,1433
1,1437
1,3617
1,35
1,40
1,9129
1,2860
1,5299
1,436
1,219
1,7869
1,2112
1,2369
1,1860
1,837
1,9185
1,200
1,4814
1,4691
1,5461
1,7091
1,729
1,4314
1,1243
1,6877
1,8289
1,9061
1,5851
1,8936
1,5651
1,7543
1,7929
1,890
1,2685
1,4606
2,3584
2,1537
2,514
2,3
2,4
2,5
2,6
2,7
2,9
2,10
2,11
2,13
2,6671
2,16
2,5797
2,1555
2,4116
2,4117
2,22
2,23
2,24
2,516
2,6170
2,6174
2,31
2,546
2,7203
2,36
2,4102
2,39
2,40
2,1065
2,42
2,4103
2,44
2,7005
2,50
2,4958
2,1078
2,8759
2,5177
2,5180
2,1034
2,2622
2,67
2,8774
2,3655
2,75
2,5218
2,2127
2,80
2,2641
2,2132
2,1621
2,4187
2,2140
2,3770
2,2654
2,2146
2,100
2,5734
2,4794
2,105
2,620
2,1133
2,1646
2,111
2,2561
2,702
2,631
2,121
2,1146
2,3707
2,8375
2,3861
2,5187
2,6278
2,135
2,108
2,2703
2,8336
2,1684
2,149
2,2818
2,1391
2,9416
2,6927
2,677
2,3241
2,170
2,9671
2,3756
2,685
2,1712
2,177
2,690
2,692
2,183
2,1208
2,2234
2,1567
2,6604
2,190
2,2239
2,2240
2,193
2,1220
2,199
2,3784
2,201
2,5834
2,9335
2,717
2,2509
2,1315
2,8378
2,2777
2,3292
2,7352
2,2271
2,9440
2,6370
2,6128
2,6374
2,1257
2,746
2,9853
2,240
2,241
2,5331
2,8062
2,1782
2,2296
2,762
2,6271
2,764
2,765
2,1794
2,260
2,5382
2,2092
2,268
